ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-69541	Stabilization of p53	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69563	p53-Dependent G1 DNA Damage Response	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69610	p53-Independent DNA Damage Response	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-69615	G1/S DNA Damage Checkpoints	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	41	0.672839525073186	1.71851110816381	0.00154329959753095	0.00822021382851557	0.0054489305965457	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-202403	TCR signaling	66	0.584854121461726	1.6717178661478	0.0014229446838222	0.00822021382851557	0.0054489305965457	382	tags=26%, list=12%, signal=23%	PSMB10/PSMB9/ENAH/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/IKBKG/PSMA3/PSMA5
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	11	0.863663766010487	1.63889712930002	0.00140802661844971	0.00822021382851557	0.0054489305965457	50	tags=18%, list=2%, signal=18%	SERPINE1/YBX1
