Gen	UniProt ID	log2FC	FDR	Dirección
NMNAT1	Q9HAN9	1.342	0.0304	Up
ATOX1	O00244	1.339	0.0456	Up
FKBP7	Q9Y680	1.332	0.0188	Up
IGFBP7	Q16270	1.327	0.0394	Up
PCYT1A	P49585	1.327	0.0318	Up
LSM1	O15116	1.326	0.0359	Up
PAFAH1B3	Q15102	1.326	0.0229	Up
NONO	Q15233	1.316	0.0154	Up
NHLRC3	Q5JS37	1.315	0.0432	Up
GLUL	P15104	1.314	0.0476	Up
ACAT2	O75908	1.31	0.0437	Up
RALY	Q9UKM9	1.302	0.0254	Up
PSMA2	P25787	1.301	0.0142	Up
ERC1	Q8IUD2	1.292	0.0417	Up
ZPR1	O75312	1.292	0.0494	Up
PDXK	O00764	1.291	0.0142	Up
HNRNPAB	Q99729	1.289	0.0406	Up
DLG1	Q12959	1.279	0.0202	Up
XRCC4	Q13426	1.279	0.0461	Up
RBPJ	Q06330	1.274	0.0469	Up
PPIL3	Q9H2H8	1.27	0.0392	Up
CASP3	P42574	1.268	0.0461	Up
ADAR	P55265	1.264	0.0488	Up
PSMB3	P49720	1.264	0.0172	Up
CRELD2	Q6UXH1	1.258	0.0392	Up
EIF3G	O75821	1.256	0.0177	Up
HNRNPF	P52597	1.255	0.0211	Up
DYNC1I2	Q13409	1.25	0.0406	Up
MAPRE1	Q15691	1.248	0.0294	Up
P4HA1	P13674	1.247	0.0459	Up
PSMA4	P25789	1.246	0.0165	Up
HSPA5	P11021	1.236	0.0276	Up
CLIP1	P30622	1.232	0.039	Up
TBCA	O75347	1.228	0.0188	Up
GOLGA3	Q08378	1.223	0.0217	Up
MIF	P03971	1.222	0.0201	Up
RPS8	P62241	1.219	0.0445	Up
FKBP15	Q5T1M5	1.217	0.0315	Up
FKBP4	Q02790	1.217	0.0371	Up
TFG	Q92734	1.213	0.0291	Up
BAP18	Q8IXM2	1.211	0.0137	Up
LAMA4	Q16363	1.211	0.0305	Up
NEDD8	Q15843	1.21	0.0156	Up
ABCF2	Q9UG63	1.208	0.043	Up
PKLR	P30613	1.205	0.0496	Up
PSMD10	O75832	1.196	0.0429	Up
PITPNB	P48739	1.193	0.0426	Up
GOLIM4	O00461	1.191	0.0435	Up
AGA	P20933	1.187	0.0397	Up
PSMB2	P49721	1.187	0.0104	Up
CSDE1	O75534	1.185	0.0189	Up
DDX46	Q7L014	1.183	0.0482	Up
GOLGA4	Q13439	1.174	0.04	Up
PSMB4	P28070	1.174	0.0161	Up
SERPINB1	P30740	1.174	0.0258	Up
ERO1A	Q96HE7	1.167	0.0496	Up
CBX1	P83916	1.162	0.0303	Up
MLEC	Q14165	1.158	0.041	Up
WDR12	Q9GZL7	1.158	0.0468	Up
FCHO2	Q0JRZ9	1.157	0.0406	Up
KTN1	Q86UP2	1.157	0.0215	Up
CPNE3	O75131	1.156	0.0426	Up
KHSRP	Q92945	1.152	0.02	Up
RALA	P11233	1.149	0.0482	Up
EML4	Q9HC35	1.143	0.0452	Up
PGAM1	P18669	1.136	0.0238	Up
ALDOC	P09972	1.12	0.0333	Up
BSDC1	Q9NW68	1.113	0.0494	Up
LRPAP1	P30533	1.109	0.0423	Up
PSMB1	P20618	1.104	0.0312	Up
PSMA1	P25786	1.101	0.0229	Up
PSMA7	O14818	1.091	0.0271	Up
PSMG2	Q969U7	1.091	0.0211	Up
ETHE1	O95571	1.085	0.0349	Up
EPS8L2	Q9H6S3	1.077	0.0413	Up
PSMA3	P25788	1.065	0.0395	Up
PSMA6	P60900	1.059	0.0275	Up
GLG1	Q92896	1.052	0.0291	Up
CTSD	P07339	1.05	0.00698	Up
PSMA5	P28066	1.05	0.0407	Up
RAD50	Q92878	1.047	0.0375	Up
HLA-A	P04439	1.031	0.0417	Up
REXO2	Q9Y3B8	1.025	0.0303	Up
GGCT	O75223	1.01	0.0479	Up
PPL	O60437	-1.003	0.0435	Down
PPP1R9A	Q9ULJ8	-1.029	0.0378	Down
CD59	P13987	-1.04	0.0344	Down
C20orf27	Q9GZN8	-1.053	0.0408	Down
APOA1	P02647	-1.095	0.0419	Down
ADD1	P35611	-1.104	0.0269	Down
HBB	P68871	-1.119	0.0408	Down
HTRA2	O43464	-1.122	0.0435	Down
SERPINA3	P01011	-1.132	0.04	Down
IMPDH2	P12268	-1.141	0.0426	Down
DNPH1	O43598	-1.173	0.0473	Down
ALDH7A1	P49419	-1.187	0.0457	Down
FGG	P02679	-1.191	0.0325	Down
MCCC2	Q9HCC0	-1.192	0.0459	Down
FGB	P02675	-1.195	0.0373	Down
APCS	P02743	-1.203	0.0131	Down
CMA1	P23946	-1.206	0.041	Down
HBA1	P69905	-1.218	0.0198	Down
SPRYD4	Q8WW59	-1.219	0.0366	Down
NFU1	Q9UMS0	-1.235	0.0303	Down
IDH3G	P51553	-1.244	0.0395	Down
CYB5B	O43169	-1.27	0.0113	Down
SDHA	P31040	-1.272	0.0447	Down
EHD2	Q9NZN3	-1.294	0.0234	Down
MMAB	Q96EY8	-1.294	0.0417	Down
SERPIND1	P05546	-1.298	0.0275	Down
FGA	P02671	-1.301	0.0131	Down
PGRMC2	O15173	-1.301	0.0326	Down
PTGR2	Q8N8N7	-1.327	0.041	Down
HBD	P02042	-1.333	0.0279	Down
YWHAG	P61981	-1.338	0.041	Down
OCIAD1	Q9NX40	-1.342	0.0198	Down
ANK1	P16157	-1.348	0.0172	Down
C5	P01031	-1.352	0.0457	Down
EIF4A2	Q14240	-1.356	0.0228	Down
OLFML3	Q9NRN5	-1.369	0.0189	Down
F2	P00734	-1.37	0.0246	Down
PARVA	Q9NVD7	-1.374	0.047	Down
CPT2	P23786	-1.377	0.00914	Down
SIRT5	Q9NXA8	-1.396	0.0192	Down
SERPINA6	P08185	-1.397	0.0153	Down
HSP90AB4P	Q58FF6	-1.398	0.0494	Down
APOD	P05090	-1.404	0.0104	Down
ATP1A1	P05023	-1.404	0.0496	Down
REEP5	Q00765	-1.429	0.0373	Down
S100A10	P60903	-1.431	0.0347	Down
SEC23B	Q15437	-1.442	0.0435	Down
NAP1L4	Q99733	-1.445	0.0238	Down
PDHX	O00330	-1.449	0.0442	Down
CYB5A	P00167	-1.453	0.00553	Down
SLC44A2	Q8IWA5	-1.456	0.0151	Down
ANK2	Q01484	-1.465	0.0333	Down
RTN4	Q9NQC3	-1.468	0.0423	Down
AKR1C2	P52895	-1.48	0.0226	Down
FETUB	Q9UGM5	-1.481	0.0226	Down
ALDH3A2	P51648	-1.487	0.0333	Down
ETFDH	Q16134	-1.497	0.0275	Down
SFRP1	Q8N474	-1.497	0.0216	Down
ALDH1B1	P30837	-1.506	0.0308	Down
LIMS1	P48059	-1.506	0.0256	Down
CNN1	P51911	-1.509	0.0496	Down
RPLP2	P05387	-1.514	0.0216	Down
SELENBP1	Q13228	-1.516	0.0383	Down
APOH	P02749	-1.518	0.0114	Down
JCHAIN	P01591	-1.521	0.033	Down
CBR4	Q8N4T8	-1.522	0.0142	Down
NDUFA10	O95299	-1.526	0.032	Down
IDH3B	O43837	-1.533	0.025	Down
DLAT	P10515	-1.538	0.0255	Down
CFI	P05156	-1.55	0.00486	Down
GALNT6	Q8NCL4	-1.552	0.0439	Down
SCCPDH	Q8NBX0	-1.561	0.0426	Down
UBE2N	P61088	-1.566	0.0161	Down
MRPL38	Q96DV4	-1.576	0.00879	Down
CMPK1	P30085	-1.584	0.0195	Down
LONP1	P36776	-1.584	0.0122	Down
LGALS1	P09382	-1.597	0.0351	Down
ALDH1A1	P00352	-1.601	0.0245	Down
NDUFA9	Q16795	-1.602	0.0423	Down
ITIH2	P19823	-1.609	0.0204	Down
HSPD1	P10809	-1.612	0.0291	Down
HINT1	P49773	-1.629	0.0152	Down
MRPL17	Q9NRX2	-1.633	0.0289	Down
AK3	P27144	-1.634	0.02	Down
SPTA1	P02549	-1.636	0.0206	Down
TPT1	P13693	-1.648	0.0303	Down
OLA1	Q9NTK5	-1.651	0.0152	Down
LRRC57	Q8N9N7	-1.655	0.0224	Down
CFB	P00751	-1.662	0.0323	Down
UCHL1	P09936	-1.662	0.0117	Down
ALDH4A1	P30038	-1.672	0.0408	Down
SYPL1	Q16563	-1.674	0.0195	Down
OLFML1	Q6UWY5	-1.682	0.0129	Down
TAGLN	Q01995	-1.697	0.035	Down
UQCRH	P07919	-1.697	0.0259	Down
ACSL1	P33121	-1.699	0.0233	Down
PRDX3	P30048	-1.703	0.0138	Down
KLHL40	Q2TBA0	-1.711	0.0364	Down
CAVIN1	Q6NZI2	-1.717	0.0142	Down
PHB2	Q99623	-1.717	0.0281	Down
OGDH	Q02218	-1.734	0.0273	Down
ESD	P10768	-1.736	0.0177	Down
FUCA1	P04066	-1.739	0.00507	Down
SUCLG2	Q96I99	-1.74	0.00617	Down
TMEM109	Q9BVC6	-1.74	0.0206	Down
SEC62	Q99442	-1.742	0.0447	Down
ABHD14B	Q96IU4	-1.746	0.0245	Down
NHLRC2	Q8NBF2	-1.748	0.0173	Down
GNA11	P29992	-1.749	0.0142	Down
ANXA6	P08133	-1.753	0.0378	Down
LPP	Q93052	-1.754	0.0113	Down
LMCD1	Q9NZU5	-1.761	0.0209	Down
TPM1	P09493	-1.781	0.0281	Down
SERPINF1	P36955	-1.785	0.0124	Down
VWF	P04275	-1.788	0.00647	Down
BCKDHB	P21953	-1.791	0.00872	Down
PCYOX1	Q9UHG3	-1.796	0.0137	Down
GATM	P50440	-1.799	0.0357	Down
CDH13	P55290	-1.801	0.0473	Down
QDPR	P09417	-1.803	0.00612	Down
BLVRB	P30043	-1.825	0.0117	Down
NDUFV1	P49821	-1.829	0.0403	Down
HADHB	P55084	-1.843	0.0288	Down
NDUFS6	O75380	-1.846	0.0318	Down
HSD17B8	Q92506	-1.847	0.0034	Down
GSTM3	P21266	-1.863	0.0177	Down
ATP5PB	P24539	-1.87	0.0296	Down
SOD3	P08294	-1.87	0.00617	Down
MAOA	P21397	-1.879	0.0255	Down
GOT2	P00505	-1.884	0.0148	Down
A2M	P01023	-1.886	0.0423	Down
ACOT13	Q9NPJ3	-1.886	0.00731	Down
ABI3BP	Q7Z7G0	-1.896	0.00519	Down
MPP1	Q00013	-1.898	0.0371	Down
LYVE1	Q9Y5Y7	-1.901	0.0184	Down
CLU	P10909	-1.93	0.00694	Down
NDUFB10	O96000	-1.931	0.0151	Down
FAM162A	Q96A26	-1.933	0.0148	Down
VTN	P04004	-1.935	0.00553	Down
IDH3A	P50213	-1.948	0.0145	Down
BDH1	Q02338	-1.95	0.0129	Down
UQCRB	P14927	-1.951	0.018	Down
ETFB	P38117	-1.952	0.02	Down
TMOD1	P28289	-1.952	0.00553	Down
PRDX5	P30044	-1.956	0.0177	Down
ASS1	P00966	-1.964	0.0117	Down
UGP2	Q16851	-1.967	0.028	Down
KRTCAP2	Q8N6L1	-1.975	0.0344	Down
BGN	P21810	-1.978	0.0152	Down
ALDH9A1	P49189	-1.998	0.0173	Down
EPHX1	P07099	-2	0.0254	Down
APOC3	P02656	-2.016	0.0142	Down
GSTM2	P28161	-2.016	0.0156	Down
PALM	O75781	-2.02	0.00599	Down
PRDX2	P32119	-2.022	0.00396	Down
SPTB	P11277	-2.026	0.0068	Down
COX6C	P09669	-2.034	0.0108	Down
CYB5R1	Q9UHQ9	-2.035	0.0152	Down
C8orf82	Q6P1X6	-2.04	0.0239	Down
ATP5MF	P56134	-2.045	0.0199	Down
APOA2	P02652	-2.046	0.00852	Down
BIN1	O00499	-2.063	0.041	Down
ARL6IP5	O75915	-2.075	0.0215	Down
PRH1	P02810	-2.089	0.0186	Down
NDUFV2	P19404	-2.1	0.0109	Down
APOO	Q9BUR5	-2.109	0.00846	Down
GALE	Q14376	-2.116	0.0289	Down
PON3	Q15166	-2.117	0.00914	Down
MTA2	O94776	-2.125	0.0115	Down
EPB42	P16452	-2.127	0.00553	Down
NNT	Q13423	-2.127	0.00756	Down
SUCLG1	P53597	-2.129	0.00914	Down
MGST3	O14880	-2.134	0.0202	Down
ETFA	P13804	-2.153	0.0131	Down
ATP2A3	Q93084	-2.154	0.00599	Down
H1-0	P07305	-2.154	0.0142	Down
APOA4	P06727	-2.156	0.00553	Down
ATP2A2	P16615	-2.16	0.0363	Down
CLEC3B	P05452	-2.166	0.00912	Down
DUSP3	P51452	-2.168	0.0234	Down
TPM2	P07951	-2.178	0.0284	Down
TNXB	P22105	-2.203	0.00149	Down
ALDH6A1	Q02252	-2.214	0.00426	Down
CRIP1	P50238	-2.223	0.0226	Down
OR5I1	Q13606	-2.227	0.0435	Down
ATP5MG	O75964	-2.231	0.0219	Down
L1CAM	P32004	-2.255	0.0228	Down
PREB	Q9HCU5	-2.262	0.0389	Down
SACM1L	Q9NTJ5	-2.287	0.0303	Down
COX5A	P20674	-2.295	0.0124	Down
CACNA2D1	P54289	-2.297	0.00482	Down
MDH1	P40925	-2.305	0.0298	Down
ACAA2	P42765	-2.31	0.0138	Down
LANCL1	O43813	-2.31	0.00373	Down
NDUFA8	P51970	-2.311	0.00795	Down
CAVIN2	O95810	-2.313	0.00362	Down
ALDH5A1	P51649	-2.316	0.0142	Down
KRT18	P05783	-2.334	0.0241	Down
PLSCR4	Q9NRQ2	-2.351	0.00799	Down
PDHB	P11177	-2.366	0.00914	Down
HRC	P23327	-2.371	0.047	Down
CA2	P00918	-2.376	0.0368	Down
MGST1	P10620	-2.392	0.0131	Down
SLC25A3	Q00325	-2.419	0.00914	Down
AGT	P01019	-2.421	0.00755	Down
SDHB	P21912	-2.438	0.00155	Down
MYOM2	P54296	-2.441	0.00277	Down
SYNM	O15061	-2.449	0.02	Down
VDAC1	P21796	-2.461	0.00355	Down
NDUFB7	P17568	-2.469	0.0113	Down
DCXR	Q7Z4W1	-2.474	0.00174	Down
ALDH2	P05091	-2.475	0.00473	Down
SUCLA2	Q9P2R7	-2.475	0.00595	Down
CFL2	Q9Y281	-2.489	0.0199	Down
NDUFS1	P28331	-2.501	0.00277	Down
CRAT	P43155	-2.509	0.00288	Down
SORBS2	O94875	-2.522	0.00362	Down
PTGES2	Q9H7Z7	-2.531	0.0035	Down
DGLUCY	Q7Z3D6	-2.534	0.018	Down
AGL	P35573	-2.536	0.00381	Down
MYOM3	Q5VTT5	-2.536	0.0102	Down
NDUFA13	Q9P0J0	-2.541	0.0129	Down
ECI2	O75521	-2.551	0.00415	Down
NDUFA4	O00483	-2.562	0.0142	Down
CD34	P28906	-2.573	0.00381	Down
KRT19	P08727	-2.589	0.02	Down
CAV1	Q03135	-2.592	0.00407	Down
VDAC2	P45880	-2.598	0.00381	Down
ATP1B1	P05026	-2.599	0.00197	Down
NDUFS7	O75251	-2.607	0.00277	Down
NDUFB11	Q9NX14	-2.613	0.0124	Down
NDUFB9	Q9Y6M9	-2.621	0.0035	Down
NDUFA5	Q16718	-2.627	0.00149	Down
COX5B	P10606	-2.628	0.00914	Down
ATP5ME	P56385	-2.629	0.00171	Down
ITGA7	Q13683	-2.675	0.00149	Down
ATP5F1D	P30049	-2.693	2.72e-4	Down
PRDX6	P30041	-2.706	0.00362	Down
FUNDC2	Q9BWH2	-2.713	0.00198	Down
ACADVL	P49748	-2.715	0.00206	Down
CKM	P06732	-2.739	0.0375	Down
CEP350	Q5VT06	-2.747	0.0292	Down
KLHL41	O60662	-2.748	0.0471	Down
GPD1L	Q8N335	-2.753	0.00553	Down
ADSS1	Q8N142	-2.756	0.0103	Down
TTN	Q8WZ42	-2.762	0.0165	Down
FABP3	P05413	-2.77	0.0494	Down
DPT	Q07507	-2.784	0.00146	Down
SYNC	Q9H7C4	-2.789	0.031	Down
ATP5MD	Q96IX5	-2.808	0.00496	Down
FHL3	Q13643	-2.811	0.0273	Down
SMYD1	Q8NB12	-2.832	0.0243	Down
PRELP	P51888	-2.836	0.00381	Down
NIPSNAP2	O75323	-2.838	0.00275	Down
NIPSNAP3B	Q9BS92	-2.838	0.032	Down
CA3	P07451	-2.839	0.0478	Down
VDAC3	Q9Y277	-2.845	0.00275	Down
ATP5F1A	P25705	-2.85	0.00861	Down
HIBADH	P31937	-2.854	1.38e-4	Down
NDUFA2	O43678	-2.872	0.0152	Down
ATP5PO	P48047	-2.888	0.0113	Down
DCN	P07585	-2.92	0.00362	Down
ENO3	P13929	-2.925	0.0423	Down
CASQ2	O14958	-2.926	0.02	Down
KRT8	P05787	-2.934	0.0233	Down
MUC5B	Q9HC84	-2.935	0.0452	Down
GPT	P24298	-2.951	0.028	Down
PFKM	P08237	-2.98	0.0044	Down
ACADM	P11310	-2.996	0.00232	Down
TNNI2	P48788	-2.998	0.0255	Down
